1	4T1	Breast; mammary gland	Mouse	Mimics human breast cancer; Stage IV	R10(w/o P/S)	Adherent	 	동물실험팀
2	A549	Lung	Human	NSCLC	R10(+25 mM HEPES)	Adherent	KCLB	동물실험팀
3	B16-F10	Skin	Mouse	Melanoma	D10	Adherent	ATCC, KCLB	동물실험팀
4	Caco-2	Colon	Human	Adenocarcinoma	E10	Adherent	ATCC	동물실험팀
5	CAL 27	Tongue	Human	Squamous cell carcinoma	D10	Adherent	ATCC	동물실험팀
6	Calu-1	Lung	Human	NSCLC	Mccoy's 5A(+10%FBS and 25 mM HEPES)	Adherent	KCLB	동물실험팀
7	Calu-6	Lung	Human	Carcinoma	R10	Adherent	 	동물실험팀
8	Capan-1	Pancreas	Human	Adenocarcinoma	R10	Adherent	 	동물실험팀
9	Caski	Cervix, Uterine	Human	Carcinoma, epidermoid; metastasis	R10	Adherent	KCLB	동물실험팀
10	Choi-ck	Bile duct	Human	cholangiocarcinoma	D10(+2 mM L-glu)	Adherent	 	동물실험팀
11	Colo201	Colon	Human	Adenocarcinoma	R10	Loosely attached & suspension	ATCC	동물실험팀
12	Colo320HSR	Colon	Human	Adenocarcinoma; Dukes' type C	R10	Loosely attached & suspension	KCLB	동물실험팀
13	Colo320HSR (△155_1-1)	Colon	Human	Adenocarcinoma; Dukes' type C	R10(+200 ug/ml G418)	Loosely attached & suspension	KCLB	동물실험팀
14	Colo320HSR (△155_1-11)	Colon	Human	Adenocarcinoma; Dukes' type C	R10(+200 ug/ml G418)	Loosely attached & suspension	KCLB	동물실험팀
15	Colo320HSR (△155_1-14)	Colon	Human	Adenocarcinoma; Dukes' type C	R10(+200 ug/ml G418)	Loosely attached & suspension	KCLB	동물실험팀
16	Colo320HSR (△155_1-15)	Colon	Human	Adenocarcinoma; Dukes' type C	R10(+200 ug/ml G418)	Loosely attached & suspension	KCLB	동물실험팀
17	Colo320HSR (△160)	Colon	Human	Adenocarcinoma; Dukes' type C	R10	Loosely attached & suspension	KCLB	동물실험팀
18	CT26	Fibroblast	Mouse	Carcinoma	D10	Adherent	 	동물실험팀
19	DLD-1	Colon	Human	Dukes' type C, colorectal adenocarcinoma	R10	Adherent	 	동물실험팀
20	E0771	Mammary gland/breast	Mouse	Adenocarcinoma	R10(w/o P/S and 10 mM HEPES)	Adherent	CH3 BioSystems	동물실험팀
21	FaDu	Pharynx	Human	Squamous Cell Carcinoma	M10	Adherent	ATCC	동물실험팀
22	HCT-116	Colon	Human	Colorectal carcinoma	R10	Adherent	 	동물실험팀
23	HCT-15	Colon	Human	Dukes' type C, colorectal adenocarcinoma	R10	Adherent	 	동물실험팀
24	HCT-8	Colon	Human	Ileocecal colorectal adenocarcinoma	R10	Adherent	ATCC	동물실험팀
25	Hep3B	Liver	Human	Carcinoma, hepatocellular	D10	Adherent	KCLB	동물실험팀
26	HEPA1-6	Liver	Mouse	Hepatoma	D10	Adherent	ATCC	동물실험팀
27	HepG2	Liver	Human	Hepatoblastoma	D10	Adherent	 	동물실험팀
28	HT-29	Colon	Human	Adenocarcinoma	R10	Adherent	 	동물실험팀
29	Huh7	Liver	Human	Hepatocellular carcinoma	R10	Adherent	 	동물실험팀
30	KKK-D068H1	Biliary tract	Human	cholangiocarcinoma	D10	Adherent	JCRB	동물실험팀
